,open,open close,close,area,address,name,mub,b_day,franchise,size,addr,영업상태
0,2018-10-22,3,2019-10-11,127.11,중구,호롱커피,2,354,2,4,8,폐업
1,2018-10-30,3,2019-07-01,89.61,중구,루나(RUNA),2,244,2,4,8,폐업
2,2018-12-03,3,2020-11-13,65.0,중구,코이,2,711,2,3,8,폐업
3,2018-12-06,3,2019-08-20,99.75,중구,프레그먼트(Fragment),2,257,2,4,8,폐업
4,2018-11-30,3,2019-07-30,99.75,중구,카페미미미 대구동성로시코르점,2,242,1,4,8,폐업
5,2018-11-27,3,2020-07-13,26.97,중구,참한카페,2,594,2,1,8,폐업
6,2018-12-21,3,2021-03-04,26.4,중구,테이크어브레이크,2,804,2,1,8,폐업
7,2018-12-12,3,2020-12-24,130.0,중구,더디퍼,2,743,2,4,8,폐업
8,2018-11-21,3,2018-12-28,33.0,중구,카페타니아,2,37,2,2,8,폐업
9,2020-06-11,3,2021-01-11,98.0,중구,리리리,2,214,2,4,8,폐업
10,2020-06-15,3,2020-08-26,56.86,중구,1.14km,2,72,2,3,8,폐업
11,2020-04-06,3,2020-10-12,49.52,중구,스마트타임커피,2,189,2,3,8,폐업
12,2020-05-12,3,2021-08-10,75.59,중구,가온연합(주) 카르멜 대구예술발전소점,2,455,1,3,8,폐업
13,2020-05-27,3,2020-07-24,57.69,중구,글루미(gloomy),2,58,2,3,8,폐업
14,2020-05-04,3,2020-06-11,23.41,중구,행복동 신사,2,38,2,1,8,폐업
15,2018-08-09,3,2021-02-02,70.3,중구,라코히스튜디오,2,908,2,3,8,폐업
16,2018-08-14,3,2019-11-05,37.6,중구,허밍102,2,448,2,2,8,폐업
17,2020-06-24,3,2021-04-06,10.0,중구,쿠키95(cookie95),2,286,2,1,8,폐업
18,2020-06-26,3,2021-07-27,42.9,중구,널디플래그쉽스토어 대구점,2,396,1,2,8,폐업
19,2020-06-26,3,2021-09-28,59.58,중구,헤이 데이지,2,459,2,3,8,폐업
20,2020-08-13,3,2021-07-06,87.82,중구,에이피피,2,327,2,4,8,폐업
21,2020-08-12,3,2021-06-02,119.2,중구,유동커피 동성로3가점,2,294,1,4,8,폐업
22,2020-07-06,3,2020-07-21,47.22,중구,로커커피(locker coffee),2,15,2,3,8,폐업
23,2018-09-28,3,2020-11-13,47.7,중구,우든(wooden),2,777,2,3,8,폐업
24,2020-10-12,3,2021-02-23,39.7,중구,콧다케이크,2,134,2,2,8,폐업
25,2020-11-13,3,2021-04-02,47.7,중구,문우관25,2,140,2,3,8,폐업
26,2021-04-12,3,2021-04-30,8.0,중구,에밀리키친,2,18,2,1,8,폐업
27,2016-09-01,3,2018-08-21,174.85,중구,심리카페멘토대구동성로점,1,719,1,4,8,폐업
28,2016-09-02,3,2020-02-13,12.0,중구,폰앤아트,2,1259,2,1,8,폐업
29,2016-09-02,3,2020-02-03,91.6,중구,50로스팅카페,2,1249,2,4,8,폐업
30,2016-09-06,3,2020-01-15,90.27,중구,연운당,2,1226,2,4,8,폐업
31,2016-04-20,3,2019-05-24,46.95,중구,에비드커피,2,1129,2,3,8,폐업
32,2016-04-28,3,2017-04-12,49.5,중구,잉크아지트(INKAzit),2,349,2,3,8,폐업
33,2015-04-23,3,2021-07-29,62.37,중구,브래킷,2,2289,2,3,8,폐업
34,2020-01-02,3,2021-05-13,61.23,중구,일구팔일공방,2,497,2,3,8,폐업
35,2020-01-03,3,2021-01-20,1.44,중구,커피에어로프레스,2,383,2,1,8,폐업
36,2019-12-30,3,2021-07-01,144.21,중구,일구팔일카페,2,549,2,4,8,폐업
37,2008-07-02,3,2012-02-02,10.0,중구,스위트롤,2,1310,2,1,8,폐업
