open,open close,close,area,adress,name,category,mub
20210225,03,20210323,33.06,중구 계산동2가 0200 현대백화점 8층 ,시노베,일반조리판매,N
20210226,03,20210727,14.88,중구 동성로3가 0036-0013 ,달꽃 크레페,패스트푸드,N
20181022,03,20191011,127.11,중구 남산동 0938-0008번지 지하 1층 ,호롱커피,커피숍,N
20181022,03,20190228,11.00,중구 계산동2가 0200번지 현대백화점 지하 1층 ,농업회사법인135도 주식회사,일반조리판매,N
20181029,03,20181127,,중구 남산동 2267-0013번지 지상 5층 ,카페 이웃집수달,커피숍,N
20181030,03,20190701,89.61,중구 삼덕동3가 0136-0002번지 지상 1층 ,루나(RUNA),커피숍,N
20181016,03,20181022,,중구 계산동2가 0200번지 현대백화점 지하 1층 ,서프독,일반조리판매,N
20181115,03,20200102,13.22,중구 포정동 0021-0003번지 지상1층 35호 ,김밥명가,일반조리판매,N
20181203,03,20201113,65.00,중구 태평로2가 0019 지상 1~2층 ,코이,커피숍,N
20181205,03,20190524,1.44,중구 대신동 0115-0038번지 서문야시장판매대 제23호 ,슈바인스학세,일반조리판매,N
20181206,03,20190820,99.75,중구 대봉동 0039-0007번지 지상 1층 ,프레그먼트(Fragment),커피숍,N
20181130,03,20190730,99.75,중구 삼덕동1가 0005-0012번지 지상 1층 ,카페미미미 대구동성로시코르점,커피숍,N
20190102,03,20190813,6.00,중구 계산동2가 0200번지 현대백화점 지하 1층 ,교토마블,일반조리판매,N
20181127,03,20200713,26.97,중구 대신동 0267-0018 지상 1층 ,참한카페,커피숍,N
20181221,03,20210304,26.40,중구 남산동 0241-0022 지상 1층 ,테이크어브레이크,커피숍,N
20181212,03,20181226,,중구 동성로2가 0099-0001번지 지상 1~2층 ,헨젤과그레텔,일반조리판매,N
20181212,03,20201224,130.00,중구 서성로1가 0052-0001 지상 1층 ,더디퍼,커피숍,N
20181114,03,20200623,1.44,중구 대신동 0115-0038번지 서문야시장판매대 제61호 ,계란오빵,일반조리판매,N
20181121,03,20181228,33.00,중구 남산동 3006번지 반월당효성해링턴플레이스 301동 지하1층 ,카페타니아,커피숍,N
20201221,03,20210121,33.06,중구 계산동2가 0200 현대백화점 8층 ,시노베,기타 휴게음식점,N
20201203,03,20201211,,중구 동성로2가 0040-0001 1층 ,나우커피 동성로점,커피숍,N
20210119,03,20210220,33.06,중구 계산동2가 0200 현대백화점 8층 ,시노베,일반조리판매,N
