,datesold,price,bedrooms
0,2007-02-07,525000,4
1,2007-02-27,290000,3
2,2007-03-07,328000,3
3,2007-03-09,380000,4
4,2007-03-21,310000,3
5,2007-04-04,465000,4
6,2007-04-24,399000,3
7,2007-04-30,1530000,4
8,2007-05-24,359000,3
9,2007-05-25,320000,3
10,2007-06-26,385000,3
11,2007-06-27,305000,3
12,2007-06-27,850000,4
13,2007-06-28,765000,4
14,2007-06-30,517000,4
15,2007-07-02,800000,5
16,2007-07-03,336000,3
17,2007-07-06,535000,5
18,2007-07-07,900000,4
19,2007-07-08,327000,1
20,2007-07-12,427500,3
21,2007-07-13,780000,3
22,2007-07-18,530000,3
23,2007-07-18,590000,3
24,2007-07-20,525000,3
25,2007-07-20,549000,4
26,2007-07-21,1780000,4
27,2007-07-30,446000,3
28,2007-07-30,558000,4
29,2007-07-31,506000,3
30,2007-07-31,520000,4
31,2007-08-03,383000,3
32,2007-08-03,520000,3
33,2007-08-07,815000,5
34,2007-08-10,545500,3
35,2007-08-10,760000,3
36,2007-08-11,520000,3
37,2007-08-11,636000,3
38,2007-08-14,625000,4
39,2007-08-16,790000,4
40,2007-08-21,320000,3
41,2007-08-21,418000,5
42,2007-08-21,455000,4
43,2007-08-23,560000,4
44,2007-08-24,585000,4
45,2007-08-28,325000,2
46,2007-08-28,420000,4
47,2007-08-29,599000,3
48,2007-08-30,315000,2
49,2007-08-30,367000,3
50,2007-08-31,348000,3
51,2007-08-31,532500,4
52,2007-09-03,465000,3
53,2007-09-04,820000,4
54,2007-09-06,590000,3
55,2007-09-11,559000,4
56,2007-09-15,446000,4
57,2007-09-18,470000,3
58,2007-09-20,396500,4
59,2007-09-20,479000,3
60,2007-09-21,1460000,5
61,2007-09-22,500000,4
62,2007-09-22,506000,4
63,2007-09-22,520000,4
64,2007-09-24,920000,4
65,2007-09-27,507000,4
66,2007-10-02,475000,3
67,2007-10-09,397000,3
68,2007-10-10,556000,3
69,2007-10-12,447000,4
70,2007-10-12,720000,4
71,2007-10-15,273000,1
